query,lat,lng
"3411 Bank St, Baltimore, MD 21224",39.2873036,-76.5681591
"5225 York Rd, Baltimore, MD 21212",39.3538004,-76.6095261
"606 Cherry Hill Rd, Baltimore, MD 21225",39.2505284,-76.6223205
"821 N Eutaw St, Baltimore, MD 21201",39.2991253,-76.6214532
"4623 Falls Road, Baltimore, MD 21209",39.3450502,-76.6406944
"4200 Pennington Ave, Baltimore, MD 21226, USA",39.227407,-76.5889049
"4201 Primrose Ave, Baltimore, MD 21215",39.3494514,-76.6956153
"311 W Saratoga St, Baltimore, MD 21201",39.2927114,-76.6202554
"2036 W North Ave Baltimore, MD 21217",39.3098729,-76.6511046
"1118 Ward Street, Baltimore MD 21230",39.2819356,-76.6329309
"4120 Patterson Ave, Baltimore, MD 21215",39.3537564,-76.7052269
"4151 Park Heights Ave, Baltimore, MD 21215",39.3368316,-76.6639632
"6050 Park Heights Ave, Baltimore, MD 21215",39.356659,-76.6901111
"1501 W Saratoga St, Baltimore, MD 21223",39.2918588,-76.6414727
"5807 Harford Rd, Baltimore, MD 21214",39.3553711,-76.5580191
"315 Homeland Southway, Baltimore, MD 21212",39.35222,-76.612649
"Baltimore, MD",39.2908816,-76.610759
"5124 Greenwich Ave, Baltimore, MD 21229",39.2903027,-76.7095782
"400 S Bond St, Baltimore, MD 21231",39.2863686,-76.5957233
"435 E 25th St, Baltimore, MD 21218",39.3179049,-76.6099978
"6501 N Charles St, Baltimore, MD 21204",39.3714675,-76.6261188
"400 Cathedral St, Baltimore, MD 21201",39.2945237,-76.6173559
"1303 Orleans St, Baltimore, MD 21231",39.2946388,-76.5993089
"101 W Mt Royal Ave, Baltimore, MD 21201",39.3050836,-76.6177823
"915 Sterrett St, Baltimore, MD 21230",39.2811454,-76.6270154
"620 Fallsway, Baltimore, MD 21202",39.2973439,-76.6106293
"1410 Bush Street Baltimore, MD 21230",39.2762715,-76.6355376
"3001 E Madison St, Baltimore, MD 21205",39.2997678,-76.5751003
"2305 N Charles St, Baltimore, MD 21218",39.3156123,-76.6164858
"201 N Charles St, Baltimore, MD 21201",39.2913255,-76.6149686
"4111 Washington Blvd, Halethorpe, MD 21227",39.2412635,-76.6788314
"800 W 36th St, Baltimore, MD 21211",39.331478,-76.6295992
"2631 Huntingdon Ave, Baltimore, MD 21211",39.3194592,-76.6216436
"5351 Park Heights Ave Baltimore, MD 21215",39.3507527,-76.6804387
"401 Woodbourne Ave, Baltimore, MD 21212",39.3552924,-76.610507
"725 Fallsway, Baltimore, MD 21202",39.2981682,-76.6102259
"901 N Milton Ave, Baltimore, MD 21205",39.301363,-76.5820958
"101 W. 23rd Street, Baltimore, MD 21218",39.3140877,-76.6186209
"1900 Bayard Street Baltimore, MD 21230",39.273933,-76.6296423
"425 N Chester St, Baltimore, MD 21231",39.2961825,-76.5874442
"424 S Pulaski St, Baltimore, MD 21223",39.281981,-76.6494604
"4711 Edmondson Ave, Baltimore, MD 21229",39.2923479,-76.6994719
"25 South Charles Street Baltimore, MD 21201-3303",39.2882695,-76.6145837
"2200 Halethorpe Farms Road, Baltimore, MD 21227",39.2242112,-76.6855615
"2422 W Patapsco Ave, Baltimore, MD 21230",39.2527077,-76.6504688
"1118 Ward Street, Baltimore, MD 21230",39.2819356,-76.6329309
"2405 Linden Avenue Baltimore, MD 21217",39.3141935,-76.6355054
"435 East 25th Street Baltimore, Maryland 21218",39.3179049,-76.6099978
"4207 Frederick Avenue, Baltimore, MD 21229",39.2814033,-76.6848363
"9190 Church St. Libertytown (Union Bridge), MD 21791",39.4868893,-77.2401593
"100 N. Holliday St, Baltimore, MD 21202",39.2908833,-76.6107116
"1214 N Wolfe St, Baltimore, MD 21213",39.3049874,-76.5914068
"1111 N Charles St, Baltimore, MD 21201",39.3028623,-76.6154742
"421 Fallsway, Baltimore, MD 21202",39.2937855,-76.6093554
"22 S. Greene Street, Baltimore, MD 21201",39.2882737,-76.6243944
"3120 Erdman Ave, Baltimore, MD 21213",39.3211812,-76.5725293
"1501 Division St, Baltimore, MD 21217",39.3032289,-76.6315623
"430 S Broadway, Baltimore, MD 21231",39.2857448,-76.5937708
"900 S Caton Ave, Baltimore, MD 21229",39.271541,-76.6734579
"1800 Orleans St, Baltimore, MD 21287",39.2964392,-76.5923927
"3001 S Hanover St, Baltimore, MD 21225",39.2518435,-76.6140313
"1601 Guilford Ave, Baltimore, MD 21202",39.3080603,-76.6119741
320 Cathedral Street,39.2937563,-76.6170364
"140 W. West Street, Baltimore, MD 21230",39.27617,-76.6183766
"3601 Old Frederick Road, Baltimore, MD 21229",39.283175,-76.676715
"2104 Maryland Ave, Baltimore, MD 21218",39.3134182,-76.6183062
"1212 North Wolfe Street, Baltimore, MD 21213",39.3049769,-76.5914066
"323 E 25th St, Baltimore, MD 21218",39.3178287,-76.6119712
"1414 Reisterstown Road Pikesville, MD 21208",39.3765522,-76.7252672
"119 E 25th St, Baltimore, MD 21218",39.3177631,-76.6144355
"7800 Harkins Rd, Lanham, MD 20706",38.9520217,-76.8731758
"25 South Charles Street, Baltimore, MD 21201-3303",39.2882695,-76.6145837
"10 N Greene St, Baltimore, MD 21201",39.2896683,-76.6244938
"3901 The Alameda, Baltimore, MD 21218",39.3359963,-76.5978737
"310 South Eden St. Baltimore, MD 21231",39.2870513,-76.5986886
"2828 Loch Raven Rd, Baltimore, MD 21218",39.3222018,-76.603319
"949 Gorsuch Ave, Baltimore, MD 21218",39.3256514,-76.6030936
"908 Washington Blvd, Baltimore, MD 21230",39.2831677,-76.631378
"200 E North Ave, Baltimore, MD 21202",39.3119022,-76.6131619
"201 N. Charles Street, Baltimore,MD",39.2913255,-76.6149686
"2036 W. North Avenue, Baltimore, MD 21217",39.3098729,-76.6511046
"226 N. Paca Street, Baltimore, MD 21201",39.2918523,-76.6225742
"7205 Rutherford Road, Baltimore, MD 21244",39.3317572,-76.7474408
"1510 W Lafayette Ave, Baltimore, MD 21217",39.2990635,-76.642331
"417 E Fayette St, Baltimore, MD 21202",39.2903065,-76.6094251
4623 Falls Road Baltimore MD 21209 USA,39.3450502,-76.6406944
2835 Virginia Ave Baltimore MD 21215 USA,39.345004,-76.662062
4321 Old York Rd Baltimore MD 21212-4813 USA,39.3425728,-76.6071195
2620 Quantico Ave Baltimore MD 21215-7011 USA,39.3379176,-76.6620727
529 Walker Ave Baltimore MD 21212 USA,39.3716215,-76.6062109
5200 Denmore Ave Baltimore MD 21215-5027 USA,39.348641,-76.6781742
5011 Arbutus Ave Baltimore MD 21215-5723 USA,39.3425789,-76.6804459
5616 Park Heights Ave Baltimore MD 21215 USA,39.3527172,-76.6853794
3106 Liberty Heights Ave Baltimore MD 21215-7449 USA,39.3237113,-76.6686273
3401 Edgewood Rd Baltimore MD 21215-7320 USA,39.3260233,-76.673556
1355 Homestead St Baltimore MD 21218 USA,39.3231499,-76.5998408
624 Gutman Ave Baltimore MD 21218-5422 USA,39.3174891,-76.6067931
721 E 25TH ST Baltimore MD 21218 USA,39.3181626,-76.603137
6622 Loch Raven Blvd Baltimore MD 21239 USA,39.3677118,-76.5845231
"2718 Harford Road, Baltimore, MD",39.320761,-76.5914847
116 W Pennsylvania Ave Towson MD 21204-4518 USA,39.4008877,-76.6056514
1407 Bolton St Baltimore MD 21217-4202 USA,39.30636,-76.625081
"1546 North Fremont Avenue, Baltimore, MD",39.3062334,-76.6387213
1542 N Gilmor St Baltimore MD 21217 USA,39.3063988,-76.643652
1609 Druid Hill Ave Baltimore MD 21217-3427 USA,39.304785,-76.6316377
3207 Marnat Rd Baltimore MD 21208-4506 USA,39.3722767,-76.7007929
2201 Garrison Blvd Baltimore MD 21216-2612 USA,39.3123307,-76.6751014
3200 Walbrook Ave Baltimore MD 21216-3032 USA,39.3103232,-76.6712825
5204 Liberty Heights Ave Baltimore MD 21207-7057 USA,39.3337342,-76.702031
5315 Harford Rd Baltimore MD 21214-2255 USA,39.3506771,-76.5624207
3001 Baker St Baltimore MD 21216-3905 USA,39.3056759,-76.6676244
6020 Marian Dr Baltimore MD 21215-3325 USA,39.349143,-76.7107645
8240 Loch Raven Blvd Towson MD 21286 USA,39.3889764,-76.5722645
"1300 N Eden St, Baltimore, MD 21213",39.305292,-76.599692
817 N Mount St Baltimore MD 21217-2117 USA,39.2979603,-76.6442579
1401 N Milton Ave Baltimore MD 21213 USA,39.3072374,-76.5825979
230 N Fulton Ave Baltimore MD 21223-1661 USA,39.2839252,-76.6449463
7200 Harford Rd Baltimore MD 21234-7702 USA,39.3682661,-76.548007
209 W Fayette St Baltimore MD 21201-3403 USA,39.2905339,-76.6172286
"2031 West Baltimore Street Baltimore, MD 21223",39.2878137,-76.649638
120 N Front St Baltimore MD 21202-4804 USA,39.2913453,-76.6063094
4 S Gay St Baltimore MD 21202-4007 USA,39.3013349,-76.5968835
2424 McElderry St Baltimore MD 21205 USA,39.297822,-76.582783
219 N Chester St Baltimore MD 21231-1302 USA,39.2888126,-76.5872385
"4301 Raspe Avenue, Baltimore, MD 21206",39.3490147,-76.534636
"8203 Harford Rd, Parkville, MD 21234",39.3783284,-76.5387281
2612 Wilkens Ave Baltimore MD 21223-3313 USA,39.2791871,-76.656831
360 S Dukeland St Baltimore MD 21223-2701 USA,39.280234,-76.6626556
5401 Frankford Ave Baltimore MD 21206-6139 USA,39.3231256,-76.5414527
8801 Harford Rd Parkville MD 21234-4121 USA,39.3834059,-76.5337001
141 S Clinton St Baltimore MD 21224-2341 USA,39.289919,-76.5702171
"8910 Waltham Woods Rd, Parkville, MD 21234",39.401979,-76.542298
6000 Radecke Ave Baltimore MD 21206-3955 USA,39.330867,-76.531724
"1525 N Charles St, Baltimore, MD 21201",39.3064893,-76.6160654
"3901 Loch Raven Blvd, Baltimore, MD 21218",39.3369782,-76.5938216
"600 N Wolfe St, Baltimore, MD 21287",39.2968851,-76.5924306
"301 S Central Ave, Baltimore, MD 21202",39.2873386,-76.599452
"3600 N Rogers Ave, Baltimore, MD 21207",39.3350075,-76.7052774
5110 Frederick Ave Baltimore MD 21229-3218 USA,39.2815135,-76.6995342
7222 Ambassador Rd Windsor Mill MD 21244-2724 USA,39.3291269,-76.7513354
2216 Pot Spring Rd Timonium MD 21093 USA,39.4496037,-76.6083636
6901 Security Blvd Windsor Mill MD 21244-2412 USA,39.3124769,-76.7505314
"6950 Dogwood Rd, Windsor Mill, MD 21244",39.3213183,-76.7567462
4414 Wilkens Ave Baltimore MD 21229-4720 USA,39.2738371,-76.6708556
8301 Liberty Rd Windsor Mill MD 21244-3107 USA,39.356124,-76.7661207
3301 Milford Mill Rd Baltimore MD 21244-2042 USA,39.3476658,-76.7675314
1930 Brookdale Rd Windsor Mill MD 21244-1704 USA,39.3131358,-76.7593679
7710 Windsor Mill Rd Baltimore MD 21244-2037 USA,39.312484,-76.7111606
9621 Reisterstown Rd Owings Mills MD 21117-4134 USA,39.4048116,-76.7585013
5115 Old Court Rd Randallstown MD 21133-4701 USA,39.3633634,-76.7764017
8615 Church Ln Randallstown MD 21133-4632 USA,39.365692,-76.7778622
3225 Round Rd Brooklyn MD 21225 USA,39.2454365,-76.6262536
25 Bloomsbury Ave Catonsville MD 21228-4641 USA,39.2709673,-76.7309059
1200 Linden Ave Arbutus MD 21227-2423 USA,39.2547084,-76.6988237
"2700 Washington Avenue, Halethorpe, MD 21227",39.2435737,-76.6611511
"67 Winters Ln, Catonsville, MD 21228",39.2749788,-76.7385774
8701 Winands Rd Randallstown MD 21133-4001 USA,39.3802974,-76.7817114
200 Bloomsbury Ave Catonsville MD 21228-5222 USA,39.2670096,-76.7304111
7000 Rossville Blvd Rosedale MD 21237 USA,39.3398153,-76.4860778
"8701 Winands Road, Randallstown, MD 21133",39.3802974,-76.7817114
"3501 7th St, Brooklyn, Baltimore, MD 21225, USA",39.2378198,-76.5994695
3701 4Th St Brooklyn MD 21225-2026 USA,39.2359325,-76.6058546
9202 Philadelphia Rd Rosedale MD 21237-4319 USA,39.3503525,-76.4697202
7544 Holabird Ave Dundalk MD 21222-2104 USA,39.2709882,-76.5053552
518 Franklin Ave Essex MD 21221-6721 USA,39.3107935,-76.4763825
524 Maryland Ave Essex MD 21221-6734 USA,39.3084785,-76.4738481
196 Hammonds Ln Brooklyn Park MD 21225-3649 USA,39.2156577,-76.6184337
75 Chandelle Rd Middle River MD 21220-3541 USA,39.3370504,-76.4536828
155 Orville Rd Essex MD 21221-1309 USA,39.3257027,-76.4506889
101 Avon Beach Rd Dundalk MD 21222-6105 USA,39.2429827,-76.5124343
"7828 Saint Patricia Lane, Dundalk, MD 21222",39.2692896,-76.4747928
4317 North Point Blvd Dundalk MD 21222-5048 USA,39.2581825,-76.4626659
725 Main St Reisterstown MD 21136-2501 USA,39.4522039,-76.8198048
308 Main St Reisterstown MD 21136-1904 USA,39.4619202,-76.8284223
"11832 Eastern Avenue, Middle River, MD 21220",39.3478937,-76.3882123
"10264 Baltimore National Pike, Ellicott City, MD 21042",39.2818207,-76.8664213
7566 E Howard Rd Glen Burnie MD 21060-8313 USA,39.1537396,-76.5852651
9055 Tamar Dr Columbia MD 21045-2756 USA,39.2097455,-76.8232353
7006 Graces Quarters Rd Middle River MD 21220-1623 USA,39.3620464,-76.3659486
8146 Quarterfield Rd Severn MD 21144-2705 USA,39.1229793,-76.6708077
1100 Philadelphia Rd Joppa MD 21085-3204 USA,39.4400019,-76.3399878
26 Magothy Beach Rd Pasadena MD 21122-4428 USA,39.1205344,-76.5187572
8187 Telegraph Rd Severn MD 21144-3205 USA,39.1080333,-76.6926914
961 Johnsville Rd Sykesville MD 21784 USA,39.4047233,-76.9608766
110 Ritchie Hwy Pasadena MD 21122-4304 USA,39.1104635,-76.5757591
"1918 Pulaski Hwy, Edgewood, MD 21040",39.434382,-76.3202482
915 Liberty Road Eldersburg MD 21784 USA,39.4066247,-76.9651567
8232 Redmiles Ln Odenton MD 21113-1100 USA,39.101183,-76.6925793
1980 Trimble Rd Edgewood MD 21040 USA,39.4181084,-76.3069461
429 Asbury Dr Severna Park MD 21146-1373 USA,39.081522,-76.5480179
"21 Linwood Ave, Bel Air, MD 21014",39.5316479,-76.3432741
6750 Woodbine Rd Woodbine MD 21797-9402 USA,39.3894146,-77.0566266
4901 Woodbine Rd Sykesville MD 21784-9348 USA,39.4397958,-77.0544904
658 Lucabaugh Mill Rd Westminster MD 21157-3814 USA,39.5923934,-76.9715428
10 Distillery Dr Westminster MD 21158-7160 USA,39.5757028,-76.9945658
708 Highland Rd Street MD 21154-1306 USA,39.6686557,-76.3775386
10 Hudson St Annapolis MD 21401 USA,38.9841277,-76.5338041
"410 E. Jeffrey St. Baltimore, MD 21225",39.2341907,-76.6067386
21366 Sharp St Rock Hall MD 21661-0477 USA,39.1358575,-76.2322185
101 W Bel Air Avenue Aberdeen MD 21001 USA,39.5101728,-76.1654703
"21 Aberdeen Avenue, Aberdeen, MD",39.5039962,-76.1582957
1740 Forest Dr Annapolis MD 21401-4210 USA,38.969362,-76.5183986
"200 Old Post Rd, Aberdeen, MD 21001",39.5106279,-76.1554142
"300 Seneca Ave, Havre de Grace, MD",39.536077,-76.099664
"105 N Mill St, Chestertown, MD 21620",39.2104012,-76.0682377
305 N Kent St Chestertown MD 21620-1609 USA,39.2129091,-76.0683924
"304 Aiken Ave, Perryville, MD 21903",39.5604314,-76.0711149
"12060 Main Street, Libertytown, MD 21762",39.4844191,-77.2497835
960 Craigtown Rd Port Deposit MD 21904-1654 USA,39.6303747,-76.0766224
"38 West Baltimore Street, Taneytown, MD",39.6608369,-77.1771219
"74 Frederick St, Taneytown, MD 21787",39.6583786,-77.1785791
206 Del Rhodes Ave Queenstown MD 21658-1364 USA,38.9898104,-76.1569329
301 Homewood Ave Centreville MD 21617-1306 USA,39.047828,-76.0694324
21 W Frederick St Walkersville MD 21793-8230 USA,39.4791333,-77.3542905
"336 N Market St, Frederick, MD 21701",39.4183153,-77.4103252
"206 Del Rhodes Ave, Queenstown, MD 21658",38.9898104,-76.1569329
419 W South St Frederick MD 21701-6326 USA,39.4117449,-77.4186873
392 Cypress St Millington MD 21651-1160 USA,39.2587364,-75.838047
"227 Basil Avenue, Chesapeake City, MD 21915",39.5185461,-75.822715
4004 Ballenger Creek Pike Frederick MD 21703-7942 USA,39.34447,-77.474818
103 Railroad Ave St Michaels MD 21663-0354 USA,38.786453,-76.2244843
10 Frederick Rd Thurmont MD 21788-1809 USA,39.6214963,-77.4120803
200 Road B Elkton MD 21921-6695 USA,39.6023438,-75.844955
"3030 Greenmount Ave, Baltimore, MD 21218",39.3255295,-76.6096664
135 E High St Elkton MD 21921-5624 USA,39.6091294,-75.8319875
756 Elk Mills Rd Elk Mills MD 21920-0012 USA,39.6575951,-75.8254155
6045 Solomons Island Rd Huntingtown MD 20639-8876 USA,38.6065407,-76.613605
"1009 North Washington Street, Easton, MD",38.7819349,-76.0737493
"3451 Falls Rd, Baltimore, MD 21211",39.3296988,-76.6343258
"25550 Point Lookout Road, Leonardtown, MD 20650",38.2976857,-76.6365313
"961 Johnsville Road, Sykesville, MD, 21784",39.4047233,-76.9608766
"8106 Georgia Avenue, Silver Spring, MD, 20910",38.990572,-77.0265155
"3235 Leonardtown Road, Waldorf, MD, 20601",38.6224484,-76.9037739
"1546 North Fremont Avenue, Baltimore, MD, 21217",39.3062334,-76.6387213
"20331 Point Lookout Road, Great Mills, MD, 20634",38.2368047,-76.4967459
"1501 McCulloh Street, Baltimore, MD, 21217",39.3044096,-76.629665
"1300 North Eden Street, Baltimore, MD, 21213",39.305292,-76.599692
"26 South Mount Street, Baltimore, MD, 21223",39.2867151,-76.6439383
"2424 McElderry Street, Baltimore, MD, 21205",39.297822,-76.582783
"125 North Prospect Street, Hagerstown, MD, 21740",39.6460439,-77.7225106
"419 West South Street, Frederick, MD, 21701",39.4117449,-77.4186873
"14 South Benedum Street, Union Bridge, MD, 21791",39.567839,-77.176728
"110 Townsend Avenue, Brooklyn, MD, 21225",39.225655,-76.6131903
"326 Barclay Street, Salisbury, MD, 21804",38.3712595,-75.5905013
"1542 North Gilmor Street, Baltimore, MD, 21217",39.3063988,-76.643652
"3501 7th Street, Brooklyn, MD, 21225",39.2378198,-76.5994695
"102 North Division Street, Ocean City, MD, 21842",38.3316716,-75.0863166
"524 Maryland Avenue, Essex, MD, 21221",39.3084785,-76.4738481
"21 Linwood Avenue, Bel Air, MD, 21014",39.5316479,-76.3432741
"202 South 4th Street, Oakland, MD, 21550",39.4073258,-79.4057233
"2500 Edmondson Avenue, Baltimore, MD, 21223",39.2949476,-76.6567248
"300 Hahn Road, Westminster, MD, 21157",39.5872344,-76.9846245
"4207 Frederick Avenue, Baltimore, MD, 21229",39.2814033,-76.6848363
